,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
917053477372776448,5.467703927489864,331,1478,81,750,2018-05-08_10_55_01,1184,2017-10-08,917053477372776448,http://twitter.com/SenMarkey/status/917053477372776448
918120910795747328,5.607165775420816,561,4057,132,1405,2018-05-08_10_53_17,2502,2017-10-11,918120910795747328,http://twitter.com/SenMarkey/status/918120910795747328
918512058936766464,5.584677754689152,481,335,152,324,2018-05-08_10_51_51,2004,2017-10-12,918512058936766464,http://twitter.com/SenMarkey/status/918512058936766464
908041252809199618,5.616999999997039,280,987,75,317,2018-05-08_11_02_31,1016,2017-09-13,908041252809199618,http://twitter.com/SenMarkey/status/908041252809199618
908048541523873793,5.8440913160406325,1117,8735,360,3000,2018-05-08_11_00_37,3824,2017-09-13,908048541523873793,http://twitter.com/SenMarkey/status/908048541523873793
912382686668390400,6.273937198061438,414,1696,111,415,2018-05-08_10_59_06,985,2017-09-25,912382686668390400,http://twitter.com/SenMarkey/status/912382686668390400
914123882214412289,5.525560439577798,455,621,113,194,2018-05-08_10_57_35,1820,2017-09-30,914123882214412289,http://twitter.com/SenMarkey/status/914123882214412289
897131472246763520,5.328757763974467,322,473,82,227,2018-05-08_11_09_31,1203,2017-08-14,897131472246763520,http://twitter.com/SenMarkey/status/897131472246763520
897561501720088576,5.340158311366423,758,33766,232,12070,2018-05-08_11_08_06,2775,2017-08-15,897561501720088576,http://twitter.com/SenMarkey/status/897561501720088576
899002407178207232,5.547093525196738,695,3321,208,873,2018-05-08_11_06_32,2621,2017-08-19,899002407178207232,http://twitter.com/SenMarkey/status/899002407178207232
904036287677681669,5.5681226053624835,261,924,74,824,2018-05-08_11_04_39,885,2017-09-02,904036287677681669,http://twitter.com/SenMarkey/status/904036287677681669
895076968957263872,5.231472602739639,292,606,88,343,2018-05-08_11_15_38,1112,2017-08-08,895076968957263872,http://twitter.com/SenMarkey/status/895076968957263872
895423143635963904,5.531143847505128,577,1449,159,824,2018-05-08_11_14_01,2168,2017-08-09,895423143635963904,http://twitter.com/SenMarkey/status/895423143635963904
895628593493094400,5.416714285719377,420,287,115,100,2018-05-08_11_12_36,1583,2017-08-10,895628593493094400,http://twitter.com/SenMarkey/status/895628593493094400
896022796328996864,5.5062323391075445,637,2718,148,1342,2018-05-08_11_10_55,2336,2017-08-11,896022796328996864,http://twitter.com/SenMarkey/status/896022796328996864
888079948954689541,6.033403614488772,996,183736,9.4K,28230,2018-05-08_11_23_29,2779,2017-07-20,888079948954689541,http://twitter.com/SenMarkey/status/888079948954689541
890200132133761024,5.6905200945689725,423,5059,101,1892,2018-05-08_11_22_00,1609,2017-07-26,890200132133761024,http://twitter.com/SenMarkey/status/890200132133761024
