,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
901265355385036800,5.395922619045118,336,1232,103,402,2018-05-04_16_37_55,1434,2017-08-25,901265355385036800,http://twitter.com/SenatorTomUdall/status/901265355385036800
905790296121860098,5.451834394926065,785,975,192,430,2018-05-04_16_35_34,2945,2017-09-07,905790296121860098,http://twitter.com/SenatorTomUdall/status/905790296121860098
907688250927710208,5.870590961800366,863,2890,177,974,2018-05-04_16_33_58,2598,2017-09-12,907688250927710208,http://twitter.com/SenatorTomUdall/status/907688250927710208
913533494579679232,5.580636363636451,220,1128,75,565,2018-05-04_16_31_53,1026,2017-09-28,913533494579679232,http://twitter.com/SenatorTomUdall/status/913533494579679232
862075872991485952,5.275135869574169,736,9606,1.0K,7211,2018-05-04_16_48_13,3062,2017-05-09,862075872991485952,http://twitter.com/SenatorTomUdall/status/862075872991485952
862083179989127168,5.825173501573089,317,2063,103,1360,2018-05-04_16_46_41,1132,2017-05-09,862083179989127168,http://twitter.com/SenatorTomUdall/status/862083179989127168
887746056624230402,5.564923954386948,526,673,133,337,2018-05-04_16_45_06,1872,2017-07-19,887746056624230402,http://twitter.com/SenatorTomUdall/status/887746056624230402
888068722832879617,6.1652052238856685,536,476,98,167,2018-05-04_16_43_06,1430,2017-07-20,888068722832879617,http://twitter.com/SenatorTomUdall/status/888068722832879617
890766712789979136,5.590975609767503,574,7207,246,10456,2018-05-04_16_41_19,2120,2017-07-27,890766712789979136,http://twitter.com/SenatorTomUdall/status/890766712789979136
897557038485696513,5.724691358024546,324,713,88,314,2018-05-04_16_39_34,1205,2017-08-15,897557038485696513,http://twitter.com/SenatorTomUdall/status/897557038485696513
901265355385036800,5.395922619045118,336,1232,103,402,2018-05-04_16_48_51,1434,2017-08-25,901265355385036800,http://twitter.com/SenatorTomUdall/status/901265355385036800
905157778708340736,5.828350515462006,291,955,81,707,2018-05-04_16_47_24,982,2017-09-05,905157778708340736,http://twitter.com/SenatorTomUdall/status/905157778708340736
905790296121860098,5.451834394926064,785,975,192,430,2018-05-04_16_45_43,2945,2017-09-07,905790296121860098,http://twitter.com/SenatorTomUdall/status/905790296121860098
907688250927710208,5.884515366468589,846,2890,177,974,2018-05-04_16_44_07,2547,2017-09-12,907688250927710208,http://twitter.com/SenatorTomUdall/status/907688250927710208
913533494579679232,5.580636363636451,220,1128,75,565,2018-05-04_16_41_58,1026,2017-09-28,913533494579679232,http://twitter.com/SenatorTomUdall/status/913533494579679232
845320796197306372,5.7404968944283965,644,2110,213,1188,2018-05-04_16_55_56,2565,2017-03-24,845320796197306372,http://twitter.com/SenatorTomUdall/status/845320796197306372
848976331622805505,6.160462519964859,627,7460,386,2821,2018-05-04_16_54_21,1812,2017-04-03,848976331622805505,http://twitter.com/SenatorTomUdall/status/848976331622805505
